№;Улица;Номер;Вид объекта;Полный адрес;Кадастровый номер;Дата внесения записи в ГАР;Дата документа-основания;Номер документа-основания;Наименование документа-основания;Последнее обновление записи;Статус записи;ID ФИАС;Почтовый индекс;ОКТМО;Примечания;Реестровый номер записи;objectId (ГАР)
31;ул. Алмазная;28;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 28;;11.06.2026;10.06.2026;01/05-345;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;361e9546-7789-4977-beda-f4cb7b8208f4;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510028000000000;179929682
32;ул. Алмазная;43;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 43;96:01:0005445:36;11.06.2026;10.06.2026;01/05-375;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;5e260aff-7803-4719-a54a-cb6fd0a1ccf7;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510029000000010;179929717
33;ул. Алмазная;43 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 43 строение А;96:01:0005445:270;11.06.2026;10.06.2026;01/05-375;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;71f77f61-7993-4b8d-850f-2529c15ec3ec;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000530001000000000;179929718
34;ул. Алмазная;44;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 44;;11.06.2026;10.06.2026;01/05-376;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;0039276d-bbca-43af-88ca-776ea716f6f5;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510030000000000;179929719
35;ул. Алмазная;44 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 44 строение А;;11.06.2026;10.06.2026;01/05-376;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;fae92a88-1da2-4f4e-b501-6b6ec0c23a2c;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000530002000000000;179929720
36;ул. Алмазная;45;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 45;;11.06.2026;10.06.2026;01/05-377;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;c88d0454-72b1-40ef-9219-a5ff9c56121e;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510031000000000;179929721
37;ул. Алмазная;45 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 45 строение А;;11.06.2026;10.06.2026;01/05-377;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;c27f377d-b161-4170-93ca-185023f3db41;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000530003000000000;179929723
38;ул. Алмазная;47;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 47;96:01:0005445:31;23.06.2026;22.06.2026;01/05-439;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;23.06.2026;Актуальная;f84d96bb-04fb-4929-950c-d02a169f7b09;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510046000000000;180132352
39;ул. Алмазная;48;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 48;;22.06.2026;18.06.2026;01/05-422;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;6ce8e02a-71b5-4a9b-beda-88d3c5d3e734;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510034000000000;180103912
40;ул. Алмазная;49;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 49;96:01:0005445:282;22.06.2026;18.06.2026;01/05-410;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;307d973a-bd7a-4932-ba9a-77874ca6a815;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510041000000000;180104018
