№;Улица;Номер;Вид объекта;Полный адрес;Кадастровый номер;Дата внесения записи в ГАР;Дата документа-основания;Номер документа-основания;Наименование документа-основания;Последнее обновление записи;Статус записи;ID ФИАС;Почтовый индекс;ОКТМО;Примечания;Реестровый номер записи;objectId (ГАР)
119;ул. Утлюкская;31;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 31;96:01:0005445:293;22.06.2026;18.06.2026;01/05-402;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;413d99ed-00e8-4d66-9f09-2508952faf99;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310008000000000;180104010
120;ул. Утлюкская;32;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 32;96:01:0005445:294;22.06.2026;18.06.2026;01/05-401;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;152e56c3-0970-46e0-8ef8-7492860ef72a;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310007000000000;180104009
121;ул. Утлюкская;33;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 33;96:01:0005445:295;22.06.2026;18.06.2026;01/05-398;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;9dd948e1-0ed6-40e8-8910-4ff659ceba3b;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310006000000000;180104006
122;ул. Утлюкская;33/1;Дом;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, дом 33/1;;25.06.2026;24.06.2026;01/05-452;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;98fca5e0-b326-467b-9a47-5d2fdfaa819b;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000320005000000000;180177926
123;ул. Утлюкская;34;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 34;96:01:0005445:292;22.06.2026;18.06.2026;01/05-409;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;b1cf4a06-428a-4589-9465-d280478758e6;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310009000000000;180104017
124;ул. Утлюкская;35;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 35;;22.06.2026;18.06.2026;01/05-420;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;b415fefa-93f9-4145-a985-13d98ca903fe;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310005000000000;180103911
125;ул. Утлюкская;76;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 76;96:01:0005445:261;11.06.2026;10.06.2026;01/05-337;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;f16e64ae-78f7-4dff-98f8-a6d7eba07bdd;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310002000000010;179929781
126;ул. Утлюкская;76;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, здание 76;;09.06.2026;03.06.2026;01/05-307;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;09.06.2026;Актуальная;cbeece76-57b0-4074-a850-20e291da8d43;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000320001000000000;179876815
127;ул. Утлюкская;227;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 227;;25.06.2026;24.06.2026;01/05-453;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;9fa66b92-ca27-405c-b287-d97a8150c12c;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310015000000000;180177928
128;ул. Утлюкская;227;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, здание 227;;25.06.2026;24.06.2026;01/05-453;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;3fe0d174-6442-4c72-a0c7-e8d73634e5a2;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000320006000000000;180177929
129;ул. Утлюкская;228;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 228;;25.06.2026;24.06.2026;01/05-451;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;09404d88-e2c7-4056-8943-14c48adac36c;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310014000000000;180177924
130;ул. Утлюкская;228;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, здание 228;;25.06.2026;24.06.2026;01/05-451;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;97716175-5049-4e7b-ba03-cf41c40a0fe2;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000320004000000000;180177925
131;ул. Утлюкская;229;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 229;;25.06.2026;24.06.2026;01/05-450;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;9c4c45bf-adb0-437c-93c3-575cfca8346e;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310013000000000;180177923
132;ул. Утлюкская;231;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 231;;25.06.2026;24.06.2026;01/05-448;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;2160ba37-aac3-4d93-870e-8d086a84930b;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310012000000000;180177921
133;ул. Утлюкская;232;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 232;;25.06.2026;24.06.2026;01/05-447;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;556361d4-6674-405d-8224-1ab314990f6c;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310011000000000;180177919
134;ул. Утлюкская;232;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, здание 232;;25.06.2026;24.06.2026;01/05-447;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;6ce7eb7b-7a22-4fe3-9e14-d1f2f6dc0f3f;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000320003000000000;180177920
135;ул. Утлюкская;256;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 256;;19.06.2026;19.06.2026;01/05-397;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;19.06.2026;Актуальная;bed80246-06d1-451d-97b5-1838880a922e;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310003000000000;180066461
136;ул. Утлюкская;256;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, здание 256;;29.06.2026;29.06.2026;01/05-462;О присвоении адреса объекту адресации на территории муниципального  образования Генический муниципальный округ Херсонской области;29.06.2026;Актуальная;c7b70632-6cdd-43b7-9dab-1ae3b1005689;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000320007000000000;180235213
137;ул. Утлюкская;262;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 262;;25.06.2026;24.06.2026;01/05-449;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;d6c36b4b-d9d8-4ca6-b18f-1fb6d926f3b8;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310010000000000;180177915
138;ул. Утлюкская;262;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, здание 262;;25.06.2026;24.06.2026;01/05-449;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;25.06.2026;Актуальная;a1ab10b7-0136-4340-a14c-0cc67bbde042;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000320002000000000;180177917
